ID,NAME,AGE,DEPARTMENT,YEAR,CGPA
101,Ruth Martinez,25,Mechanical Engineering,3,7.78
102,Caroline Mccall,24,Biotechnology,4,6.45
103,John Fox,18,Electrical Engineering,2,2.44
104,Jeffrey Murphy,20,Mechanical Engineering,3,6.7
105,James Reed,23,Computer Science,4,9.32
106,Jaime Dodson,21,Electrical Engineering,4,8.6
107,Samantha Miller,23,Electrical Engineering,3,7.72
108,Belinda Kirby,22,Computer Science,4,6.75
109,Christopher Perez,23,Civil Engineering,2,5.05
100,Timothy Stein,19,Computer Science,3,4.9
111,Matthew Schroeder,18,Computer Science,1,5.7
112,Jonathan Hurst,18,Biotechnology,3,6.21
113,Christopher Jackson,19,Mechanical Engineering,1,7.29
114,Mrs. Stacy Santiago,18,Civil Engineering,3,8.12
115,Mark Carpenter,18,Biotechnology,2,9.88
116,David Robinson,23,Biotechnology,2,9.03
117,Walter Roth,22,Biotechnology,2,8.78
118,Edwin Stone,24,Electrical Engineering,2,7.86
119,Thomas Baker,19,Biotechnology,4,6.1
120,Ronald Bowman,20,Biotechnology,1,5.41
121,Curtis Robles,21,Biotechnology,3,4.67
122,Connie Romero,19,Electrical Engineering,3,3.49
123,Nicole Cortez,21,Electrical Engineering,4,3.91
124,Jacob Montoya,25,Computer Science,2,5.9
125,Matthew Rios,25,Electrical Engineering,4,6.98
126,Timothy Cabrera,23,Civil Engineering,2,7.26
127,Gregory Leach,22,Electrical Engineering,4,3.88
128,Dana Douglas,19,Computer Science,3,8.83
129,Joel David,19,Computer Science,4,9.28
130,James Gallagher,21,Computer Science,4,2.57
131,Katherine Lewis,23,Electrical Engineering,3,2.39
132,Allison Hill,20,Computer Science,1,9.55
133,Brent Martinez,23,Computer Science,1,1.13
134,Stephanie Prince,18,Mechanical Engineering,1,9.82
135,Derek Moyer,20,Computer Science,4,3.91
136,Brandon Hill,20,Biotechnology,1,8.0
137,Nathan Mendez,25,Computer Science,1,3.33
138,John Morris,19,Biotechnology,1,8.53
139,Lindsey Combs,21,Electrical Engineering,4,2.65
140,Jerome Adams,22,Biotechnology,4,9.29
141,Monique Cooper,25,Civil Engineering,4,2.15
142,Bruce Simmons,24,Electrical Engineering,4,6.51
143,Thomas Jones,18,Electrical Engineering,3,7.58
144,Kaitlyn Zimmerman,25,Mechanical Engineering,4,3.76
145,Amber Grimes,21,Civil Engineering,3,9.19
146,Gregory Williams,23,Mechanical Engineering,4,9.48
147,Jon Peck,19,Electrical Engineering,1,7.5
148,Tony Hawkins,24,Computer Science,1,8.08
149,Angela Mitchell,25,Computer Science,2,9.18
150,Julie Harris,19,Electrical Engineering,3,2.86
151,Lori Christensen,24,Biotechnology,4,7.74
152,Diane Carlson,23,Electrical Engineering,1,2.83
153,Joshua Tucker,25,Computer Science,1,8.3
154,Michael Ward,24,Electrical Engineering,4,8.77
155,Joe Gonzalez,24,Mechanical Engineering,2,9.27
156,Christopher Schwartz,24,Mechanical Engineering,3,3.55
157,Roger Taylor,19,Mechanical Engineering,2,8.3
158,Heather Martin,21,Mechanical Engineering,2,2.37
159,Timothy Miller,22,Mechanical Engineering,1,6.85
160,Justin King,21,Mechanical Engineering,1,7.72
161,Natalie Smith,18,Electrical Engineering,1,8.73
162,Joseph Morales,20,Electrical Engineering,4,9.33
163,Mr. Ethan Rodriguez,18,Biotechnology,1,6.11
164,Michael Banks,20,Biotechnology,4,8.86
165,Elizabeth Lowe,21,Computer Science,1,8.16
166,Joseph Floyd,24,Biotechnology,4,3.49
167,Margaret Franco,25,Civil Engineering,3,8.27
168,Lawrence Hoover,21,Mechanical Engineering,1,3.82
169,Danielle Hernandez,20,Computer Science,3,9.35
170,Tracy Wiggins,21,Mechanical Engineering,2,6.61
171,Stacey Pierce,24,Civil Engineering,3,9.21
172,Brianna Morgan,19,Electrical Engineering,2,7.13
173,Lisa Ochoa,21,Electrical Engineering,3,9.73
174,Antonio Edwards,18,Mechanical Engineering,1,2.2
175,David Lee,25,Computer Science,1,2.17
176,Thomas Alvarado,22,Computer Science,1,9.55
177,Andrew Coleman,22,Civil Engineering,4,7.4
178,Stephanie Larsen,20,Mechanical Engineering,1,3.27
179,Ian Holmes,21,Civil Engineering,4,8.3
180,Melissa Martin,18,Mechanical Engineering,2,3.81
181,Angel Estes,25,Civil Engineering,4,7.87
182,Molly Pearson,23,Computer Science,3,3.01
183,Sean Bond,19,Mechanical Engineering,3,3.88
184,Mary Ruiz MD,20,Electrical Engineering,3,2.14
185,Jill Irwin,19,Biotechnology,3,4.0
186,Melissa Fleming,18,Computer Science,3,3.98
187,Dr. Logan Taylor,21,Biotechnology,3,2.93
188,Donna Lam,20,Biotechnology,3,2.49
189,Eric Keller,22,Civil Engineering,4,3.24
190,Erin Frederick,24,Mechanical Engineering,3,3.73
191,Michael Bartlett,25,Electrical Engineering,3,3.94
192,Darren Berry,24,Biotechnology,1,3.99
193,Jesse Alexander,23,Civil Engineering,2,9.11
194,Nicholas Lam,25,Biotechnology,1,3.01
195,Pamela Rice DVM,19,Biotechnology,2,8.44
196,Lauren Morris,25,Civil Engineering,2,9.69
197,Daniel Jordan,24,Electrical Engineering,1,5.18
198,Evan Brown,24,Mechanical Engineering,4,7.8
199,Joann Nguyen,21,Computer Science,4,7.15
200,Scott Cooper,23,Mechanical Engineering,1,8.16
